2024-04-10 07:48:22 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2024-04-10 07:48:22 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2024-04-10 07:48:22 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2024-04-10 07:48:22 install lsb-base:all <none> 11.1.0
2024-04-10 07:48:22 status half-installed lsb-base:all 11.1.0
2024-04-10 07:48:23 status unpacked lsb-base:all 11.1.0
2024-04-10 07:48:23 install liblz4-1:amd64 <none> 1.9.3-2
2024-04-10 07:48:23 status half-installed liblz4-1:amd64 1.9.3-2
2024-04-10 07:48:23 status unpacked liblz4-1:amd64 1.9.3-2
2024-04-10 07:48:23 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2024-04-10 07:48:23 status half-configured mawk:amd64 1.3.4.20200120-2
2024-04-10 07:48:23 status unpacked mawk:amd64 1.3.4.20200120-2
2024-04-10 07:48:24 status half-installed mawk:amd64 1.3.4.20200120-2
2024-04-10 07:48:24 status unpacked mawk:amd64 1.3.4.20200120-2
2024-04-10 07:48:24 install libtinfo6:amd64 <none> 6.2+20201114-2+deb11u2
2024-04-10 07:48:24 status half-installed libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-04-10 07:48:24 status unpacked libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 install ncurses-base:all <none> 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 status half-installed ncurses-base:all 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 status unpacked ncurses-base:all 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 install ncurses-bin:amd64 <none> 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 status half-installed ncurses-bin:amd64 6.2+20201114-2+deb11u2
2024-04-10 07:48:25 status unpacked ncurses-bin:amd64 6.2+20201114-2+deb11u2
2024-04-10 07:48:26 install libhogweed6:amd64 <none> 3.7.3-1
2024-04-10 07:48:26 status half-installed libhogweed6:amd64 3.7.3-1
2024-04-10 07:48:26 status unpacked libhogweed6:amd64 3.7.3-1
2024-04-10 07:48:26 install libnettle8:amd64 <none> 3.7.3-1
2024-04-10 07:48:26 status half-installed libnettle8:amd64 3.7.3-1
2024-04-10 07:48:26 status unpacked libnettle8:amd64 3.7.3-1
2024-04-10 07:48:27 install libssl1.1:amd64 <none> 1.1.1w-0+deb11u1
2024-04-10 07:48:27 status half-installed libssl1.1:amd64 1.1.1w-0+deb11u1
2024-04-10 07:48:27 status unpacked libssl1.1:amd64 1.1.1w-0+deb11u1
2024-04-10 07:48:27 install libp11-kit0:amd64 <none> 0.23.22-1
2024-04-10 07:48:27 status half-installed libp11-kit0:amd64 0.23.22-1
2024-04-10 07:48:28 status unpacked libp11-kit0:amd64 0.23.22-1
2024-04-10 07:48:28 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2024-04-10 07:48:28 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:28 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:29 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
2024-04-10 07:48:29 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:29 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:29 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2024-04-10 07:48:29 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2024-04-10 07:48:29 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2024-04-10 07:48:30 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2024-04-10 07:48:30 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:30 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2024-04-10 07:48:30 install libpcre2-8-0:amd64 <none> 10.36-2+deb11u1
2024-04-10 07:48:30 status half-installed libpcre2-8-0:amd64 10.36-2+deb11u1
2024-04-10 07:48:31 status unpacked libpcre2-8-0:amd64 10.36-2+deb11u1
2024-04-10 07:48:31 install libpcre3:amd64 <none> 2:8.39-13
2024-04-10 07:48:31 status half-installed libpcre3:amd64 2:8.39-13
2024-04-10 07:48:31 status unpacked libpcre3:amd64 2:8.39-13
2024-04-10 07:48:31 upgrade perl-base:amd64 5.32.1-4+deb11u3 5.32.1-4+deb11u3
2024-04-10 07:48:31 status half-configured perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:48:31 status unpacked perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:48:32 status half-installed perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:48:32 status unpacked perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:48:32 install sed:amd64 <none> 4.7-1
2024-04-10 07:48:32 status half-installed sed:amd64 4.7-1
2024-04-10 07:48:33 status unpacked sed:amd64 4.7-1
2024-04-10 07:48:33 install login:amd64 <none> 1:4.8.1-1
2024-04-10 07:48:33 status half-installed login:amd64 1:4.8.1-1
2024-04-10 07:48:33 status unpacked login:amd64 1:4.8.1-1
2024-04-10 07:48:34 install passwd:amd64 <none> 1:4.8.1-1
2024-04-10 07:48:34 status half-installed passwd:amd64 1:4.8.1-1
2024-04-10 07:48:34 status unpacked passwd:amd64 1:4.8.1-1
2024-04-10 07:48:34 install libsystemd0:amd64 <none> 247.3-7+deb11u4
2024-04-10 07:48:34 status half-installed libsystemd0:amd64 247.3-7+deb11u4
2024-04-10 07:48:35 status unpacked libsystemd0:amd64 247.3-7+deb11u4
2024-04-10 07:48:35 install libudev1:amd64 <none> 247.3-7+deb11u4
2024-04-10 07:48:35 status half-installed libudev1:amd64 247.3-7+deb11u4
2024-04-10 07:48:35 status unpacked libudev1:amd64 247.3-7+deb11u4
2024-04-10 07:48:36 install sysvinit-utils:amd64 <none> 2.96-7+deb11u1
2024-04-10 07:48:36 status half-installed sysvinit-utils:amd64 2.96-7+deb11u1
2024-04-10 07:48:36 status unpacked sysvinit-utils:amd64 2.96-7+deb11u1
2024-04-10 07:48:36 install tar:amd64 <none> 1.34+dfsg-1+deb11u1
2024-04-10 07:48:36 status half-installed tar:amd64 1.34+dfsg-1+deb11u1
2024-04-10 07:48:36 status unpacked tar:amd64 1.34+dfsg-1+deb11u1
2024-04-10 07:48:37 install tzdata:all <none> 2024a-0+deb11u1
2024-04-10 07:48:37 status half-installed tzdata:all 2024a-0+deb11u1
2024-04-10 07:48:37 status unpacked tzdata:all 2024a-0+deb11u1
2024-04-10 07:48:38 install bsdutils:amd64 <none> 1:2.36.1-8+deb11u1
2024-04-10 07:48:38 status half-installed bsdutils:amd64 1:2.36.1-8+deb11u1
2024-04-10 07:48:38 status unpacked bsdutils:amd64 1:2.36.1-8+deb11u1
2024-04-10 07:48:38 install libblkid1:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:38 status half-installed libblkid1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:38 status unpacked libblkid1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:39 install libmount1:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:39 status half-installed libmount1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:39 status unpacked libmount1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:39 install libsmartcols1:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:39 status half-installed libsmartcols1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:39 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:40 install libuuid1:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:40 status half-installed libuuid1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:40 status unpacked libuuid1:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:40 install mount:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:40 status half-installed mount:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:40 status unpacked mount:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:41 install util-linux:amd64 <none> 2.36.1-8+deb11u1
2024-04-10 07:48:41 status half-installed util-linux:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:41 status unpacked util-linux:amd64 2.36.1-8+deb11u1
2024-04-10 07:48:41 install libxxhash0:amd64 <none> 0.8.0-2
2024-04-10 07:48:41 status half-installed libxxhash0:amd64 0.8.0-2
2024-04-10 07:48:42 status unpacked libxxhash0:amd64 0.8.0-2
2024-04-10 07:48:42 install liblzma5:amd64 <none> 5.2.5-2.1~deb11u1
2024-04-10 07:48:42 status half-installed liblzma5:amd64 5.2.5-2.1~deb11u1
2024-04-10 07:48:42 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2024-04-10 07:48:42 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2024-04-10 07:48:42 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-04-10 07:48:43 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-04-10 07:48:43 startup packages configure
2024-04-10 07:48:43 configure lsb-base:all 11.1.0 <none>
2024-04-10 07:48:43 status unpacked lsb-base:all 11.1.0
2024-04-10 07:48:43 status half-configured lsb-base:all 11.1.0
2024-04-10 07:48:43 status installed lsb-base:all 11.1.0
2024-04-10 07:48:43 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2024-04-10 07:48:43 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-04-10 07:48:43 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2024-04-10 07:48:43 status installed libtirpc-common:all 1.3.1-1+deb11u1
2024-04-10 07:48:43 configure debian-archive-keyring:all 2021.1.1+deb11u1 <none>
2024-04-10 07:48:43 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2024-04-10 07:48:44 status half-configured debian-archive-keyring:all 2021.1.1+deb11u1
2024-04-10 07:48:44 status installed debian-archive-keyring:all 2021.1.1+deb11u1
2024-04-10 07:48:44 configure libaudit-common:all 1:3.0-2 <none>
